blink_freq,ch1,ch2,ch3,ch4,timestamp
12.0,1405.286107850261,978.2998599591665,802.1187828965485,556.5532119059935,1684227244.4427564
12.0,1405.4020447488874,989.0707718315534,800.6452623140067,595.8221614407375,1684227244.4431288
12.0,1357.9913330106065,915.30124520557,699.8960974076763,476.3734967559576,1684227244.4431288
12.0,1359.6929874904454,908.4908873862587,716.8976826062426,442.25812936015427,1684227244.4569197
12.0,1399.6725180167705,975.6482708905824,796.3181980652735,557.0393989002332,1684227244.4569197
12.0,1393.8569735856727,979.4854082451202,787.2676401725039,585.0437697684392,1684227244.4723644
12.0,1360.1754345847294,916.4082555924542,705.8761974368244,471.53780611325055,1684227244.4723644
12.0,1360.50454578083,901.0784056740813,685.849033174105,437.7590297134593,1684227244.4730892
12.0,1410.338712690398,988.1993751418777,815.9788521323353,564.8520499076694,1684227244.4730892
12.0,1415.8176661254838,1005.7843847335316,815.6834000358358,613.2837543338537,1684227244.4866483
12.0,1367.5542571973056,928.0468242545612,717.122076603584,483.35962987318635,1684227244.4866483
12.0,1363.2122333487496,911.5763048497029,720.3084713658318,444.75264263059944,1684227244.5026672
12.0,1401.9164579901844,972.0841462328099,799.4671938279644,555.3340045204386,1684227244.5026672
12.0,1406.022868141532,997.156435535755,819.6776131885126,601.8695796690881,1684227244.5031433
12.0,1351.1248766919598,904.8856238289736,690.5201682187617,477.6039238413796,1684227244.5031433
12.0,1341.075765511021,887.5511875343509,662.6279943492264,427.66503973305225,1684227244.5166354
12.0,1386.0405826782808,971.9831689340062,796.5500718625262,543.1942892642692,1684227244.5166354
12.0,1395.506269466132,986.1312104663812,806.0643773498014,593.2341506714001,1684227244.5323105
12.0,1357.6996208140627,918.0538115729578,706.5119804292917,480.28917200956494,1684227244.5323105
12.0,1355.3771429415792,904.1600832375698,684.7046237876639,441.3530735708773,1684227244.5330162
12.0,1389.9861771315336,967.1325186914764,778.4639156768098,542.7230618698522,1684227244.5330162
12.0,1393.9093321850523,985.5290865735151,807.1639079367742,588.86968742311,1684227244.5470357
12.0,1355.9643072346225,916.7934652878903,707.835905013606,476.13040325883776,1684227244.5470357
12.0,1346.0610521519557,895.8088866365142,690.9577365135774,432.62788697425276,1684227244.562798
12.0,1388.5537954485044,962.0462547517382,781.1903027445078,547.5774520123377,1684227244.562798
12.0,1391.1343264179304,975.3191596944816,787.0058471756056,577.870641653426,1684227244.5630214
12.0,1355.9643072346225,916.1352428956889,721.0377518571913,475.68161526415497,1684227244.5630214
12.0,1346.2723564994521,889.2659316640347,684.9944660342298,424.8376753665507,1684227244.5778975
12.0,1384.0341263520531,959.3179977340624,783.0957817719318,547.9888410074636,1684227244.578638
12.0,1390.4854537756182,976.1662470344454,804.0018225242384,583.4281329875812,1684227244.578638
12.0,1337.3975739046,903.9861778896302,715.4671708731912,467.19578226469457,1684227244.592162
12.0,1330.0112714921124,878.7493329886347,682.3279173658229,428.427979324013,1684227244.592162
12.0,1375.002267959062,956.3111181696877,786.6486867298372,550.1168440822512,1684227244.6078224
12.0,1360.7569890278392,949.059452155605,778.1067552310415,561.9162284424528,1684227244.6078224
12.0,1323.2906712717377,887.2276861881837,696.0009916038252,461.5073944320902,1684227244.6081188
12.0,1329.8130567944609,880.0695176729932,698.0915956790559,425.7539508556947,1684227244.6081188
12.0,1372.0552267939784,946.9277091808617,771.2028999128379,542.7829002691433,1684227244.6222105
12.0,1381.057165987324,979.7789903916419,810.8346197432838,586.7005454488099,1684227244.6222105
12.0,1343.6506866305135,908.8742271317169,719.6857780232094,467.5136737609282,1684227244.637848
12.0,1332.57310296176,875.9855469213799,662.9776749950834,424.1009150752798,1684227244.637848
12.0,1376.4234299422242,946.1385902902111,750.3903566594236,539.7909803045914,1684227244.6380148
12.0,1391.3605903652497,977.5612297179177,793.4403450493701,586.4275327520445,1684227244.6380148
12.0,1356.7814753749408,920.5539346933365,723.5528345773928,483.7897183680907,1684227244.6521966
12.0,1343.2056385357864,887.4520801855251,690.1854471727274,426.4196530478075,1684227244.6521966
12.0,1385.0177200403996,956.4083555685356,776.906247345265,548.3142123036087,1684227244.6676033
12.0,1390.6387896738015,979.0160508006811,808.0446543763392,588.7088717250153,1684227244.6676033
12.0,1348.2657231758349,902.082568812184,693.4242005343549,472.06513200700283,1684227244.6680512
12.0,1332.187893266324,877.6198832020164,672.3162051844411,421.73729830328375,1684227244.6680512
12.0,1379.138597310055,952.1112105194479,769.8714955286123,537.045893737115,1684227244.682204
12.0,1387.7403672081418,975.1901331460103,801.739183051046,584.9427924696356,1684227244.682204
12.0,1341.0439763613977,902.830548803322,697.7662243829109,468.710441746749,1684227244.6978064
12.0,1342.8353884401731,882.5303718438372,687.6086561032571,424.25799087341875,1684227244.6978064
