blink_freq,ch1,ch2,ch3,ch4,timestamp
10.0,-44.22057707607746,-89.80995753593743,-106.63202753663063,-168.98737949784845,1684226388.818826
10.0,-59.2512349979952,-132.99458232428879,-179.32820287533104,-241.23850674182177,1684226388.8343513
10.0,-35.33457478135824,-73.53017302881926,-82.49097332265228,-140.4369832361117,1684226388.8343513
10.0,-29.526510150171816,-34.11162749584764,-44.527248872444034,-55.391658243723214,1684226388.849856
10.0,-51.711596687324345,-91.28721801843494,-111.1273872833699,-152.9245091881603,1684226388.849856
10.0,-68.9974142825231,-145.02584048174322,-171.58287006709725,-247.76837206445634,1684226388.8503103
10.0,-41.16133891232312,-73.90790292434394,-81.30542503669858,-129.8007077621296,1684226388.8503103
10.0,-30.831735234707594,-30.52880333829671,-36.793135764077306,-27.03573677968234,1684226388.8645875
10.0,-69.10213148128241,-119.32898788619787,-151.4023699061945,-193.91755260247737,1684226388.8645875
10.0,-66.29346661455929,-127.87839918490499,-123.9477643314749,-252.76113850530237,1684226388.8653834
10.0,-37.90388605091721,-53.22625616937876,-54.69977675192058,-117.61985360644758,1684226388.8653834
10.0,-47.08160054218024,-43.01632929034531,-53.319753668271005,-69.71921497397125,1684226388.878997
10.0,-63.92984984256327,-95.51330496836454,-103.50173127371818,-188.69665226433426,1684226388.878997
10.0,-72.42316264193505,-130.2494957568124,-174.7879643291235,-224.40895694121718,1684226388.8945744
10.0,-27.70891877170652,-46.15036545321345,-56.966156125068665,-95.55070396792144,1684226388.8945744
10.0,-40.073028025217354,-45.15555206499994,-61.62981136981398,-71.77989984955639,1684226388.8953931
10.0,-65.44450932461768,-104.07767586689442,-135.78080779127777,-177.24507860001177,1684226388.8953931
10.0,-65.30239312630147,-126.77886859793216,-150.33649841882288,-222.03786036930978,1684226388.9088757
10.0,-26.97963828034699,-46.079307354055345,-57.60567901749164,-91.1151826204732,1684226388.9088757
10.0,-35.641246577724814,-39.31008843425661,-37.47379755601287,-85.31085788924247,1684226388.924614
10.0,-62.72560205683112,-107.70911872386932,-134.90567120164633,-190.6787992408499,1684226388.924614
10.0,-67.31445930246264,-138.42491705995053,-161.08123099152,-242.24453982990235,1684226388.9254484
10.0,-37.51867635548115,-64.18790293950588,-62.68446315731853,-123.61117333546281,1684226388.9254484
10.0,-30.783116535283625,-33.68901880085468,-33.9433319978416,-67.44535580091178,1684226388.9388344
10.0,-57.310226920992136,-96.41088095773011,-122.41814524959773,-165.26991894189268,1684226388.9388344
10.0,-64.01960744149983,-119.56834148336202,-144.8089262843132,-211.3267868962139,1684226388.9549255
10.0,-33.247710606083274,-61.23338197451085,-57.63933811709285,-124.22077702824026,1684226388.9549255
10.0,-30.308149240911007,-38.52096954360604,-28.98796455655247,-60.922970278188586,1684226388.9553177
10.0,-57.58697951771319,-99.5262176208198,-118.6483260942623,-159.68624830804765,1684226388.9553177
10.0,-65.01068092975765,-128.3982452787459,-148.61614443920553,-228.90057678800076,1684226388.9688869
10.0,-34.88952668663114,-48.00535583123565,-43.293081887066364,-99.86654851678759,1684226388.9688869
10.0,-20.53953055664897,-20.217899160459638,-18.321769882924855,-51.10199299454689,1684226388.9852157
10.0,-59.25497489795089,-100.4574527097866,-125.3165677152574,-175.06471692584455,1684226388.9852157
10.0,-50.944917196407914,-102.91830688063055,-131.689357239753,-193.58470150642097,1684226388.9852853
10.0,-26.070842591114342,-43.97000377904624,-34.773589788004756,-96.8596689524129,1684226388.9852853
10.0,-32.26785681769252,-27.592981873080134,-19.066009974107146,-49.79676791001111,1684226388.9988952
10.0,-62.76674095634371,-95.75265856552869,-117.08878781273961,-179.54511707276106,1684226388.9988952
10.0,-76.83998448960483,-134.51672160625458,-157.57320483308285,-247.47291996795684,1684226389.0147817
10.0,-45.83995375689119,-62.66576365754008,-55.04384754784405,-122.93425144348294,1684226389.0147817
10.0,-33.29258940555155,-31.78914962336421,-23.38933432288468,-56.79412072710693,1684226389.0154614
10.0,-61.16980367526412,-98.21351273637265,-130.68332415167242,-167.1136896200478,1684226389.0154614
10.0,-67.05640620552003,-120.43599827308208,-143.2493880027905,-227.49437440466136,1684226389.0289285
10.0,-35.76092337630689,-52.927064172923565,-61.719568968750536,-113.55832225456834,1684226389.0289285
10.0,-29.967818344943225,-26.63182758446783,-27.555582873523235,-49.53123501315713,1684226389.0447369
10.0,-65.56792602315545,-98.77823762968183,-130.01014215964824,-157.58442453294992,1684226389.0447369
10.0,-62.938776354305446,-119.41500558517873,-134.56908020563424,-224.95124243479222,1684226389.0454528
10.0,-40.892066115513444,-53.79472096264362,-62.74430155660957,-117.26830301061273,1684226389.0454528
10.0,-24.20089261326939,-16.49669870454818,-8.915921494364738,-32.96347820945084,1684226389.0588872
10.0,-41.74850320536643,-69.74539427366108,-83.35489021241665,-128.45434377808124,1684226389.0588872
10.0,-65.15653702802956,-136.0650401879102,-172.33458995819092,-252.96683300286531,1684226389.0745473
10.0,-43.60349358338863,-71.76494024973363,-79.35319725982845,-131.61081934068352,1684226389.0745473
10.0,-28.13152746669948,-26.99085798021406,-23.191119625233114,-52.29876098036766,1684226389.0752373
10.0,-53.59276636503637,-95.8985146638006,-109.4593919031322,-160.8493571942672,1684226389.0752373
10.0,-59.49432849511504,-119.11207368876785,-147.89808364771307,-223.50764105189592,1684226389.0889027
10.0,-30.259530541487038,-50.1707579055801,-40.095467424951494,-104.14125416614115,1684226389.0889027
10.0,-23.28461712412536,-25.30042320024222,-18.303070383146405,-54.965309648774564,1684226389.104628
10.0,-58.159184210933745,-103.69994597136974,-139.7301421444863,-181.57588274870068,1684226389.104628
10.0,-52.44461707863957,-121.82724105659872,-148.60866463929415,-226.7426545135677,1684226389.10524
10.0,-42.3543669981882,-67.77820689696819,-84.20384750235826,-123.70467083435506,1684226389.10524
10.0,-42.5750210955739,-46.7263100463897,-54.120092258788645,-64.00838774163276,1684226389.118848
10.0,-72.67373593896627,-114.50825684331357,-139.68900324497372,-177.02816440258175,1684226389.118848
10.0,-84.21132730226964,-145.41479007713497,-163.12321636732668,-237.15827589016408,1684226389.134534
10.0,-56.40143123175949,-77.83105797786266,-66.0690726172179,-125.55218141246587,1684226389.134534
10.0,-49.47139661386609,-51.52460168953985,-43.32300108671188,-73.06268553435802,1684226389.1352422
10.0,-62.72560205683112,-98.14245463721454,-112.32789516914636,-147.59515175130218,1684226389.1352422
10.0,-53.6563446642831,-107.15561353042722,-137.0635934760794,-183.59916862472892,1684226389.148934
10.0,-23.31453632377088,-47.02550204284489,-43.14348588883877,-101.04087710287422,1684226389.148934
10.0,-37.51119655556977,-36.71085796505213,-18.44892648141831,-88.64684864971787,1684226389.1646638
10.0,-49.09366671834141,-82.09828382730484,-90.12410913221538,-152.8534510890022,1684226389.1646638
10.0,-64.94710263051093,-130.67958425171673,-165.40455534029752,-228.1825159965083,1684226389.1656532
10.0,-34.74367058835924,-59.06797990016639,-59.48310879524797,-120.43599827308208,1684226389.1656532
10.0,-30.401646739803255,-42.80315499287099,-54.8044939506799,-76.83250468969345,1684226389.1789184
10.0,-59.18391679879278,-105.81298944633454,-139.7750209439546,-177.62654839549214,1684226389.1789184
10.0,-69.79775287304074,-131.67439763993025,-161.4888800866902,-236.52623279765248,1684226389.1946104
10.0,-31.0149903325364,-48.68601762317121,-46.66273174714297,-106.13836074247956,1684226389.1946104
10.0,-33.647879901342094,-34.48935739137232,-36.89785296283662,-68.79171978496015,1684226389.1953197
10.0,-64.47213533613831,-102.08056929055601,-129.82688706181943,-172.40564805734903,1684226389.1953197
10.0,-66.31964591424912,-123.48775663692504,-158.4857404222712,-233.49691383354366,1684226389.2088907
10.0,-40.503116520121694,-56.932497025467455,-51.87241238541901,-117.55627530720085,1684226389.2088907
10.0,-28.20632546581328,-19.802770265378058,-14.290157730691135,-39.91595222707838,1684226389.2252605
10.0,-56.36777213215828,-79.5588917573914,-107.87367432191968,-143.69069619756192,1684226389.2252605
10.0,-60.78459397982806,-113.18433225899935,-133.38353191968054,-208.01697543542832,1684226389.22541
10.0,-37.668272353708744,-53.368372367694974,-42.60494029521942,-115.18517873529345,1684226389.22541
10.0,-40.94816461484879,-36.48646396771073,-26.61312808468938,-56.33411303255707,1684226389.2388923
10.0,-69.65937657468021,-102.97814527992159,-123.5027162367478,-167.13986891973764,1684226389.2388923
10.0,-74.41652931831777,-134.10907251108438,-165.483093239367,-229.67847597878426,1684226389.255172
10.0,-34.25748359411955,-52.75502877496183,-52.75876867491752,-84.76483249571174,1684226389.255172
10.0,-25.678153095766902,-17.192320096306503,-17.513951492495835,-22.18508653715253,1684226389.2554832
10.0,-70.49337426479906,-121.48317026067525,-138.42117715999484,-204.71090387459844,1684226389.2554832
10.0,-72.32592524308711,-141.3233395256102,-163.94599435757846,-235.2920658122748,1684226389.268901
10.0,-36.030196173116565,-60.78459397982806,-55.90028463769704,-120.04704867769033,1684226389.268901
10.0,-29.33577525243163,-29.84814154636115,-10.07529048062861,-69.64441697485745,1684226389.2846296
10.0,-53.697483563795686,-96.08924956154078,-117.08130801282823,-167.7045938130468,1684226389.2846296
10.0,-66.00923421792686,-134.5055019063875,-164.98568654526025,-235.7071947073564,1684226389.2855115
10.0,-41.946717903018,-62.00006146542728,-64.46839543618262,-118.82410139217973,1684226389.2855115
10.0,1384.458604997024,917.9771436238661,749.8723805155605,555.0722115235403,1684226389.2996285
10.0,1359.2965580951422,859.6496639149264,664.9093333221972,454.9625695096329,1684226389.3004384
10.0,1357.0787974214181,837.38977937866,640.9664938058704,406.32143068592995,1684226389.3004384
10.0,1386.676365670748,904.0572359887883,737.6204682607204,509.14250016771257,1684226389.313934
10.0,1392.7649227986112,934.103592232801,768.5681403940544,576.37468167115,1684226389.313934
10.0,1371.095942455344,884.9014684157446,691.5561205064878,485.87658254336566,1684226389.3297615
10.0,1372.4161271397024,851.2274092147127,664.6662398250774,417.8590220492333,1684226389.3297615
10.0,1379.8734876513481,899.0233306484297,734.7594447946176,492.9674328593537,1684226389.3302088
10.0,1383.9836377026513,921.7731420788914,753.328048074618,553.737067239359,1684226389.3302088
10.0,1365.1457616258413,868.1280171144754,669.6253471663222,466.42910277377814,1684226389.3439393
10.0,1363.3019909476861,855.9097639592364,662.5195372505113,425.32760226074606,1684226389.3439393
10.0,1384.6044610952958,899.4496792433783,716.9313417058438,525.6653781719506,1684226389.3596072
10.0,1372.7863772353157,906.4470320604742,724.6467553144321,521.7983216177672,1684226389.3596072
10.0,1351.8130182838067,848.8488328428939,647.7357127256691,413.8199300970882,1684226389.3602955
10.0,1354.3823295533657,831.6789521463215,629.0137735474855,381.9672021744773,1684226389.3602955
10.0,1383.564768907614,908.8330882322043,729.736759154126,507.3847471885383,1684226389.3740022
10.0,1389.3391744391993,932.2934806542471,760.3328806916252,563.3523500254378,1684226389.3740022
10.0,1362.785884753801,868.1915954137221,672.7930424287915,462.5919654192403,1684226389.3905544
10.0,1357.636042514816,842.3301872201264,647.8292102245614,409.13383545260876,1684226389.3905544
10.0,1390.7229374228045,910.6805988103151,747.273150046356,520.3322808351368,1684226389.3906057
10.0,1392.454511102289,931.4557430641726,775.7150892093778,571.490372329019,1684226389.3906057
10.0,1360.5980432797223,861.9235230879858,674.9958435026929,469.68281573522836,1684226389.4041398
10.0,1359.4424141934142,835.0785212060437,647.4664399288595,402.7423464283347,1684226389.4041398
10.0,1381.2422910351306,900.8633614266291,731.9171208282933,517.7667094655335,1684226389.4202106
10.0,1383.2132183117792,911.6305333990604,739.011711044237,555.9099491136149,1684226389.4202106
10.0,1362.2473391601816,851.0030152173713,657.9157204050571,450.6654244605452,1684226389.4202888
10.0,1357.9688936108723,829.3003757745028,628.2283945567906,402.6264095297083,1684226389.4202888
10.0,1383.6059078071266,905.9346657665446,736.6331346724182,523.9674635920674,1684226389.434116
10.0,1404.4259308604524,954.8488172870129,775.109225416556,624.3538582026958,1684226389.434116
10.0,1370.5835761614144,867.8924034172669,683.5676942011341,458.0031081736088,1684226389.4495716
10.0,1365.3701556231827,834.9401449076831,640.4990063114092,382.3673714697361,1684226389.4495716
10.0,1390.4686242258176,897.4937115665525,727.6124959792942,482.0394451888278,1684226389.450451
10.0,1393.370786591433,917.677951627411,735.406447486952,538.2838006224483,1684226389.450451
10.0,1367.7936107944697,861.1905026966706,648.6258089151233,445.29866802413017,1684226389.464023
10.0,1368.0329643916339,835.7105642985553,627.6075711641461,385.79685972910374,1684226389.464023
10.0,1401.6359654935077,908.8630074318498,732.1452547255903,510.88529354706407,1684226389.479634
10.0,1409.313980102539,942.5894252322614,763.9194447491318,571.4267940297723,1684226389.479634
10.0,1388.3967196503654,879.3738962812349,677.4679173734039,466.60861797165126,1684226389.480341
10.0,1387.6038608597592,858.6847697263584,650.7238927902654,415.9292336720973,1684226389.480341
10.0,1409.3775584017858,921.825500678271,744.6739195771515,520.3734197346494,1684226389.4940927
10.0,1408.2368889153004,947.514873473905,771.575019958429,579.8677482297644,1684226389.4940927
10.0,1382.9925642143935,878.7493329886347,680.2092640409246,476.46699425484985,1684226389.5096064
10.0,1373.5044380268082,857.2860471429303,658.0952356029302,422.8405687902123,1684226389.5096064
10.0,1397.7988281389698,911.1293868049979,742.6207145014778,505.7578907078132,1684226389.5103848
10.0,1405.6226988462731,949.7999523468316,776.4668091004714,590.100114508532,1684226389.5103848
10.0,1380.0829220488667,884.9313876153901,673.3951663216576,482.21148058678955,1684226389.5238926
10.0,1367.247585400939,834.592334211804,635.3977827718481,374.9212306579575,1684226389.5238926
10.0,1394.4890166781843,909.0500024296343,736.9435463687405,512.478490928188,1684226389.539634
10.0,1393.1389127941802,922.9736499646679,762.9994293600321,561.6955743450671,1684226389.539634
10.0,1364.0649305386469,860.6407374031842,673.5410224199295,449.075966979377,1684226389.540459
10.0,1358.6158963032067,835.5011299010366,640.102576916106,400.1468558590859,1684226389.540459
10.0,1373.747531523928,885.5896100075915,719.220160478726,481.17178839910775,1684226389.5538728
10.0,1386.773603069596,927.7308027083054,755.0895409537479,557.3610302964225,1684226389.5538728
10.0,1375.123814707622,883.7233999297023,688.4370439434424,493.7565517500043,1684226389.5696533
10.0,1369.8542956700549,846.1411452749744,649.1232156092301,423.8241624785587,1684226389.5696533
10.0,1382.5662156194448,889.4267473621294,716.7406068081036,475.10193077102304,1684226389.5703435
10.0,1383.2206981116906,911.5819146996364,741.5286637144163,547.6148510118946,1684226389.5703435
10.0,1368.4368735868484,870.5252929860726,671.8917265394703,463.8448319043964,1684226389.5838876
10.0,1356.128862832673,830.3625073619187,617.2181290872395,395.50937991403043,1684226389.5838876
10.0,1384.5483625959605,900.29863653332,725.0357049098238,510.85911424737424,1684226389.599841
10.0,1396.3814060557634,932.3420993536711,760.2057240931317,572.2121730204672,1684226389.599841
10.0,1370.347962464206,869.953088292852,668.892326775007,470.05680573079735,1684226389.6003432
10.0,1365.7366658188403,842.9921495122835,643.1692948797718,411.3777754260227,1684226389.6003432
10.0,1400.1175661114976,915.1647388571873,746.742084252648,523.3989987988025,1684226389.6138048
10.0,1394.6273929765448,931.7511951606721,769.6901103807613,557.802338491194,1684226389.6138048
10.0,1370.733172159642,864.4816146576777,667.9947507856414,459.3569519575685,1684226389.6296349
10.0,1374.5291706146672,849.7090098327026,641.1908878032118,419.3400224316865,1684226389.6296349
10.0,1400.1063464116305,912.5655083879828,739.8606683341786,522.8754128050059,1684226389.6303718
10.0,1405.8732721433043,945.7533805947751,786.2578671844676,566.0076789939776,1684226389.6303718
10.0,1380.9580586384982,867.9372822167352,667.5010839914903,447.3556129997596,1684226389.644038
10.0,1364.5885165324435,832.9355585314333,630.2479405328631,390.79710596986115,1684226389.644038
10.0,1386.8484010687098,891.8763818331063,714.0852778395638,486.8227772321552,1684226389.6594374
10.0,1394.1225064825267,925.3933652359992,752.0714416895062,547.9177829083055,1684226389.6594374
10.0,1372.229132141918,865.8317185416818,665.5862552141771,454.27816781774163,1684226389.6746085
10.0,1373.3211829289794,842.2927882205695,639.0067862290889,401.5941971419379,1684226389.6746085
10.0,1392.2675161045045,906.9855776540935,728.2407991718501,500.11438167467713,1684226389.6753647
10.0,1408.9063310073689,946.6808757837862,780.1431307569146,572.8554358128458,1684226389.6753647
10.0,1369.6336415726691,865.599844744429,662.3026230530813,455.19444330688566,1684226389.689638
10.0,1363.6086627440527,834.6633923109621,630.1694026337937,395.9693876085803,1684226389.689638
10.0,1388.183545352891,900.0854622358456,726.9767129868269,506.9471788937226,1684226389.6903372
10.0,1400.5738339060917,938.8420454766601,766.0736271236092,578.5326039455831,1684226389.6903372
10.0,1386.0705018779263,882.6612683422863,680.7515495344996,489.1901339041069,1684226389.7038996
10.0,1367.1353884022683,841.9636770244688,648.5061321165413,404.1971675110981,1684226389.7038996
10.0,1388.0115099549294,904.2068319870159,745.6911723650992,497.61986840423197,1684226389.719643
10.0,1400.2596823098138,936.6055853031576,767.9547968013212,571.972819423303,1684226389.719643
10.0,1375.3108097054064,870.8394445823506,674.5320959081873,457.3299261815846,1684226389.7203135
10.0,1373.3585819285363,846.4852160708979,646.7745584370568,404.5187989072874,1684226389.7203135
10.0,1400.330740408972,913.3247080789879,733.7608915064484,517.2356436718255,1684226389.733907
10.0,1403.4984356714413,934.2868473306298,752.5576286837459,583.0017843926325,1684226389.733907
10.0,1377.5173506792635,869.1751891020685,662.5943352496251,463.3623848101124,1684226389.7496095
10.0,1380.1577200479805,853.6546042859554,647.1335888328031,416.9090874604881,1684226389.7496095
10.0,1400.7720486037433,907.8083556443453,741.1546737188473,503.7981831310317,1684226389.750303
10.0,1405.5553806470707,942.7726803300902,771.6984366569668,580.5035312222317,1684226389.750303
10.0,1367.692633495666,856.6540040504187,645.1701413560659,438.727663801983,1684226389.7638395
10.0,1360.6803210787475,826.7983827041462,627.6823691632599,378.3993376167491,1684226389.7638395
10.0,1383.2019986119121,898.9073937498033,728.9065013639629,503.58874873351306,1684226389.7795684
10.0,1388.2359039522707,931.9531497582793,768.2614685976878,566.9239544831216,1684226389.7795684
10.0,1360.2876315834,861.9945811871439,666.0425230087712,453.7022232245654,1684226389.7804284
10.0,1359.3750959942117,840.4564973423257,646.6511417385191,405.4874329958111,1684226389.7804284
10.0,1388.318181751296,904.0385364890099,741.3715879162773,510.4701646519825,1684226389.7942405
10.0,1401.621005893685,948.105777666904,771.9415301540866,590.1674327077344,1684226389.7942405
10.0,1376.7057923888788,879.4225149806589,678.8666399568319,483.2661323742941,1684226389.809622
10.0,1363.459066745825,840.2508028447628,642.2679789904505,398.5910574775189,1684226389.809622
10.0,1385.9508250793442,901.38320752047,734.0039850035682,505.3053628131747,1684226389.8105314
10.0,1388.3481009509414,918.9195984127,749.0533424252644,545.7000222345814,1684226389.8105314
10.0,1361.360982870683,852.8467858955264,660.1521805785596,446.6525118080899,1684226389.8239405
10.0,1357.8342572124675,833.0926343295723,637.4584676474333,401.9382679378614,1684226389.8239405
